sample_id,person_id,display_name,analysis_group,face_type,face_type_ko,sequence,source_path,source_sha256,source_width,source_height,processed_path,face_confidence,face_ratio,brightness_score,blur_score,roll_degrees,training_eligible,review_reason
minji_newjeans_02,minji_newjeans,민지,female,dog,강아지상,2,사진데이터/민지2.png,2a9c1a1463be28b7b3818f9529bb34ca972d5b903e0c6a8ada34b17b394ef1f6,460,494,processed/female/dog/minji_newjeans/minji_newjeans_02.jpg,0.93278,0.13398,0.5158,0.6783,-2.163,True,
minji_newjeans_03,minji_newjeans,민지,female,dog,강아지상,3,사진데이터/민지3.png,eda54d66e39716bb7baa3fbe0d9ecd40c23e36af2a14cf6cf8741f022a2cc05e,594,608,processed/female/dog/minji_newjeans/minji_newjeans_03.jpg,0.9464,0.1889,0.4824,0.6373,-2.602,True,
jin_bts_01,jin_bts,BTS 진,male,dog,강아지상,1,사진데이터/BTS진1.png,66b5789a4c027a0684807c38a4f9d50d5ac9913b7f1918db862755f1cc2fa141,450,528,processed/male/dog/jin_bts/jin_bts_01.jpg,0.92879,0.19785,0.5864,0.7725,9.255,True,
jin_bts_02,jin_bts,BTS 진,male,dog,강아지상,2,사진데이터/BTS진2.png,e8800f988e99bd374926b0a509fa725f1e71bef6bf37a294f125e8fe4e1941ab,478,570,processed/male/dog/jin_bts/jin_bts_02.jpg,0.94605,0.15114,0.4127,0.7532,-4.487,True,
jin_bts_03,jin_bts,BTS 진,male,dog,강아지상,3,사진데이터/BTS진3.png,4a1cd277fedce000bb32c1d40d003e7d52926aedc9209237d3e96a4ee78a9bf5,590,656,processed/male/dog/jin_bts/jin_bts_03.jpg,0.9454,0.25051,0.4823,0.7681,-0.973,True,
yang_yo_seob_01,yang_yo_seob,양요섭,male,dog,강아지상,1,사진데이터/양요섭1.png,fffd163424f4c36c5448b699bca82f63894e0344ad01ca7f7e0311c1ce5cb1e1,690,592,processed/male/dog/yang_yo_seob/yang_yo_seob_01.jpg,0.94299,0.15986,0.5121,0.6916,-6.339,True,
yang_yo_seob_02,yang_yo_seob,양요섭,male,dog,강아지상,2,사진데이터/양요섭2.png,435f00212f4a3bcab3b667b391801be15fda27ad16c62be445c0e780bba0d1a5,558,578,processed/male/dog/yang_yo_seob/yang_yo_seob_02.jpg,0.93085,0.19501,0.5107,0.8295,-4.458,True,
yang_yo_seob_03,yang_yo_seob,양요섭,male,dog,강아지상,3,사진데이터/양요섭3.png,53f62825543024579e5f3e510ca5b8a3ee9c1f060c30e79f16eed689ac983009,528,644,processed/male/dog/yang_yo_seob/yang_yo_seob_03.jpg,0.93437,0.30996,0.5126,0.8175,-10.055,True,
park_bo_gum_01,park_bo_gum,박보검,male,dog,강아지상,1,사진데이터/박보검1.png,f0a09531d19af663078c792e073f7634b560c2d8cbf01299f41593f1f49ff0e1,650,788,processed/male/dog/park_bo_gum/park_bo_gum_01.jpg,0.91093,0.35264,0.5386,0.8945,0.749,True,
park_bo_gum_02,park_bo_gum,박보검,male,dog,강아지상,2,사진데이터/박보검2.png,efedfc6e6a5d51182844444a080986b2e20e538663cfc05d91533516988773c3,518,628,processed/male/dog/park_bo_gum/park_bo_gum_02.jpg,0.93303,0.27262,0.4084,0.7407,-4.721,True,
park_bo_gum_03,park_bo_gum,박보검,male,dog,강아지상,3,사진데이터/박보검3.png,876da77bae89538399355b95c7e97b03178c0b7f231f12eeafc08486f14c4899,574,656,processed/male/dog/park_bo_gum/park_bo_gum_03.jpg,0.95011,0.14324,0.4899,0.7577,-6.259,True,
choi_woo_shik_01,choi_woo_shik,최우식,male,dog,강아지상,1,사진데이터/최우식1.png,47f3c031ed05d53e9581c570e5e28ed3907915e8f3c3559b2dc1e761fed0b671,562,572,processed/male/dog/choi_woo_shik/choi_woo_shik_01.jpg,0.93942,0.17413,0.5812,0.8362,-0.516,True,
choi_woo_shik_02,choi_woo_shik,최우식,male,dog,강아지상,2,사진데이터/최우식2.png,bdaba14f3d59f6a0eddbdcc7af23e2b1f7a1c37afe17e7df14c27edfde29d91d,530,614,processed/male/dog/choi_woo_shik/choi_woo_shik_02.jpg,0.94032,0.28428,0.4538,0.8021,0.608,True,
choi_woo_shik_03,choi_woo_shik,최우식,male,dog,강아지상,3,사진데이터/최우식3.png,9d8597479ddcd2765dff63e1970ba982b9148fd81302287ab276c4d5dbed766d,602,560,processed/male/dog/choi_woo_shik/choi_woo_shik_03.jpg,0.94414,0.25657,0.4396,0.7007,-6.142,True,
haerin_newjeans_01,haerin_newjeans,해린,female,cat,고양이상,1,사진데이터/해린1.png,fa5d39fa3cbbc7eb0b0225d3b18991f22c421b6d2bbfa3567d343b58a5e85e5d,526,540,processed/female/cat/haerin_newjeans/haerin_newjeans_01.jpg,0.94522,0.18366,0.4406,0.7482,-3.334,True,
haerin_newjeans_02,haerin_newjeans,해린,female,cat,고양이상,2,사진데이터/해린2.png,c1378c9eb366f66eeaf43b8dc2110679ccf4c32ca0ebe86535b89e80b1d8a85c,528,610,processed/female/cat/haerin_newjeans/haerin_newjeans_02.jpg,0.93507,0.13044,0.4629,0.5612,10.962,True,
haerin_newjeans_03,haerin_newjeans,해린,female,cat,고양이상,3,사진데이터/해린3.png,9679187f4954dd278259a743f0ea8b8ed1fdc3d62ec668fdd76e2ce1de55b5ab,546,674,processed/female/cat/haerin_newjeans/haerin_newjeans_03.jpg,0.93944,0.22187,0.5085,0.7767,-6.576,True,
jennie_blackpink_01,jennie_blackpink,제니,female,cat,고양이상,1,사진데이터/제니1.png,12e6e5484eb49de33d1e2dd2e42f0d2e89080d150a0c0952f5f8cace9aee461c,532,592,processed/female/cat/jennie_blackpink/jennie_blackpink_01.jpg,0.95197,0.18081,0.5698,0.734,-1.936,True,
jennie_blackpink_02,jennie_blackpink,제니,female,cat,고양이상,2,사진데이터/제니2.png,9ed6ab23980facf35d2857690a391d90e25f9825666d0d3ec2c5da9381ac5980,580,590,processed/female/cat/jennie_blackpink/jennie_blackpink_02.jpg,0.94527,0.18513,0.5232,0.727,-10.568,True,
jennie_blackpink_03,jennie_blackpink,제니,female,cat,고양이상,3,사진데이터/제니3.png,f07dac0592ede39ed76fc73ca6d6efe98f5742fbe169f115b5e3185b81fd4ce8,576,474,processed/female/cat/jennie_blackpink/jennie_blackpink_03.jpg,0.93899,0.11864,0.5868,0.6577,-0.41,True,
kyujin_nmixx_01,kyujin_nmixx,규진,female,cat,고양이상,1,사진데이터/규진1.png,af73e9d8febbdfa3043875d56c93e03032ab2ddc4ecc02b72446335b09123c59,530,548,processed/female/cat/kyujin_nmixx/kyujin_nmixx_01.jpg,0.93991,0.18681,0.6068,0.7714,-1.532,True,
kyujin_nmixx_02,kyujin_nmixx,규진,female,cat,고양이상,2,사진데이터/규진2.png,2e75485892baec923641c3dacd3ba45b8ba5d6b6145e7fe6fac06b1cc185c1d5,500,558,processed/female/cat/kyujin_nmixx/kyujin_nmixx_02.jpg,0.93873,0.16259,0.5192,0.6869,-7.772,True,
kyujin_nmixx_03,kyujin_nmixx,규진,female,cat,고양이상,3,사진데이터/규진3.png,7bd2c6c6775e27c016a468af093ab6f3352e92708bc2ab6a8f43c90d8d38a8ac,530,468,processed/female/cat/kyujin_nmixx/kyujin_nmixx_03.jpg,0.94147,0.1213,0.4382,0.46,-2.202,True,
han_ye_seul_01,han_ye_seul,한예슬,female,cat,고양이상,1,사진데이터/한예슬1.png,76d9d669878a1a151ccc296761ddd087f2d3cc042505eb0ae2ef57cbdd1acbcb,556,544,processed/female/cat/han_ye_seul/han_ye_seul_01.jpg,0.94727,0.16112,0.3749,0.5415,5.908,True,
han_ye_seul_02,han_ye_seul,한예슬,female,cat,고양이상,2,사진데이터/한예슬2.png,7b0c3a870d940966732fff904c9525afc146e3a8dcb294e3ca6cf02a26f4c929,624,648,processed/female/cat/han_ye_seul/han_ye_seul_02.jpg,0.94317,0.23447,0.6417,0.685,-2.853,True,
han_ye_seul_03,han_ye_seul,한예슬,female,cat,고양이상,3,사진데이터/한예슬3.png,38cd940dce1b4d7b3ac504d1f395b35cb9a1b33aea91c200187edada3871c29d,540,584,processed/female/cat/han_ye_seul/han_ye_seul_03.jpg,0.94486,0.2728,0.6849,0.6985,-0.583,True,
jinyoung_b1a4_01,jinyoung_b1a4,진영,male,cat,고양이상,1,사진데이터/B1A4진영1.png,88ff89283140c0823cdee3a4ba4625ed8ae6314040b74ecce93c3b541a7f90a3,360,404,processed/male/cat/jinyoung_b1a4/jinyoung_b1a4_01.jpg,0.91798,0.2035,0.4528,0.4447,2.695,True,
jinyoung_b1a4_02,jinyoung_b1a4,진영,male,cat,고양이상,2,사진데이터/B1A4진영2.png,6c55dabcfd61505444134800d144db57180c5fc77f8fb8939c1350c44292b487,340,376,processed/male/cat/jinyoung_b1a4/jinyoung_b1a4_02.jpg,0.942,0.1206,0.5324,0.4742,3.979,True,
jinyoung_b1a4_03,jinyoung_b1a4,진영,male,cat,고양이상,3,사진데이터/B1A4진영3.png,00c0d857195175817236103241697f49e40da54a5b9d6ead9735d0d0efc488a3,628,626,processed/male/cat/jinyoung_b1a4/jinyoung_b1a4_03.jpg,0.94947,0.17564,0.5934,0.345,-1.231,True,
xiumin_01,xiumin,시우민,male,cat,고양이상,1,사진데이터/시우민1.png,2945881809696e8ae356d11e850179d52f038124dc94f477cf79b43050115946,552,606,processed/male/cat/xiumin/xiumin_01.jpg,0.93903,0.28721,0.5776,0.8525,-3.257,True,
xiumin_02,xiumin,시우민,male,cat,고양이상,2,사진데이터/시우민2.png,32b35bd3bb4b03f147fda0a79847e6e3aa291572ed470d67ab09b2b131c5a08f,578,632,processed/male/cat/xiumin/xiumin_02.jpg,0.92246,0.34184,0.6497,0.7972,-4.201,True,
xiumin_03,xiumin,시우민,male,cat,고양이상,3,사진데이터/시우민3.png,68421ba73c79da536a8168fac4dc8a4eb4e5ff98f8f061c4307ab3c89a48e1c9,478,570,processed/male/cat/xiumin/xiumin_03.jpg,0.94653,0.30386,0.4968,0.7941,-8.006,True,
hwang_min_hyun_01,hwang_min_hyun,황민현,male,cat,고양이상,1,사진데이터/황민현1.png,636f081d20b64a56b052b22f35555dbc43944f1487906368dc008eac656cc467,220,238,processed/male/cat/hwang_min_hyun/hwang_min_hyun_01.jpg,0.93181,0.15836,0.4606,0.2135,-1.052,False,too_blurry
hwang_min_hyun_02,hwang_min_hyun,황민현,male,cat,고양이상,2,사진데이터/황민현2.png,2f9c43b00d88ef2a1a5e6910fe6a8de15324991b14b56b83f443d22e9de3d891,530,524,processed/male/cat/hwang_min_hyun/hwang_min_hyun_02.jpg,0.94298,0.31075,0.3435,0.7141,-1.689,True,
hwang_min_hyun_03,hwang_min_hyun,황민현,male,cat,고양이상,3,사진데이터/황민현3.png,43b2166d9a61d77b160789836418a9fc51ef87f59f3ab4cfd02c2aef57988af8,532,594,processed/male/cat/hwang_min_hyun/hwang_min_hyun_03.jpg,0.92121,0.42132,0.4241,0.8208,-16.554,True,
suga_bts_01,suga_bts,슈가,male,cat,고양이상,1,사진데이터/슈가1.png,ed8059aa402fe8b95b393449d62f590de3dbd19b6d74c46ae11cca8071e93d0e,364,448,processed/male/cat/suga_bts/suga_bts_01.jpg,0.93605,0.22881,0.506,0.6499,-5.359,True,
suga_bts_02,suga_bts,슈가,male,cat,고양이상,2,사진데이터/슈가2.png,b86b6954b32b95ba76081209a8799e6ebd8fdd3aaafd381f66279871483b2c08,568,652,processed/male/cat/suga_bts/suga_bts_02.jpg,0.94054,0.24722,0.4132,0.4752,-9.744,True,
suga_bts_03,suga_bts,슈가,male,cat,고양이상,3,사진데이터/슈가3.png,a712645b5219b9929eb7d7d3db74a132df2163749af5ecd0f9dbe77e1d297612,488,580,processed/male/cat/suga_bts/suga_bts_03.jpg,0.94355,0.17061,0.5038,0.7938,-0.536,True,
jang_won_young_01,jang_won_young,장원영,female,rabbit,토끼상,1,사진데이터/장원영1.png,840c038a62d99d5235cb4f657d49dd86a59e0e0541d303c6623ae88759f9b7a8,662,682,processed/female/rabbit/jang_won_young/jang_won_young_01.jpg,0.93655,0.24691,0.4713,0.8959,-1.229,True,
jang_won_young_02,jang_won_young,장원영,female,rabbit,토끼상,2,사진데이터/장원영2.png,3b92044598d5edfc8dcb5c59d1061407166779221eca09915ebc33a1fcc8df71,640,644,processed/female/rabbit/jang_won_young/jang_won_young_02.jpg,0.94159,0.16908,0.2816,0.6393,-12.463,True,
jang_won_young_03,jang_won_young,장원영,female,rabbit,토끼상,3,사진데이터/장원영3.png,46cb7978aca5a2c7747563e8e3a362140d644e8faa66f190cbd89bcab6ac6f6d,688,632,processed/female/rabbit/jang_won_young/jang_won_young_03.jpg,0.93922,0.2169,0.4537,0.6374,1.266,True,
nayeon_twice_01,nayeon_twice,나연,female,rabbit,토끼상,1,사진데이터/나연1.png,8035a6ada1eac53a8d80a211f92ac5bf267c791e12e67d540826db845b6a73c5,566,618,processed/female/rabbit/nayeon_twice/nayeon_twice_01.jpg,0.93494,0.24039,0.6611,0.9362,-3.726,True,
nayeon_twice_02,nayeon_twice,나연,female,rabbit,토끼상,2,사진데이터/나연2.png,eb870e351405de6233624e540b1497096714e9dbdeb886432c7308ced1d5f9f5,250,270,processed/female/rabbit/nayeon_twice/nayeon_twice_02.jpg,0.93665,0.27885,0.5633,0.5269,2.918,True,
nayeon_twice_03,nayeon_twice,나연,female,rabbit,토끼상,3,사진데이터/나연3.png,c7421c86b60010ea5cf630785c790763a244676d1bb237641e8922e1d65c649d,442,446,processed/female/rabbit/nayeon_twice/nayeon_twice_03.jpg,0.93231,0.15635,0.538,0.618,-7.236,True,
bae_suzy_01,bae_suzy,수지,female,rabbit,토끼상,1,사진데이터/수지1.png,3ed89783df6971f2e5e6ed21a60a023d9a779b5388d8e3885ec0fda9d1ab7162,618,628,processed/female/rabbit/bae_suzy/bae_suzy_01.jpg,0.94522,0.17613,0.5003,0.6888,4.425,True,
bae_suzy_02,bae_suzy,수지,female,rabbit,토끼상,2,사진데이터/수지2.png,28469e6a5be946dbb3c3da75580801cac807a1fe28bd45d576d0a57e8d98a010,516,598,processed/female/rabbit/bae_suzy/bae_suzy_02.jpg,0.94786,0.20326,0.4592,0.784,-8.548,True,
bae_suzy_03,bae_suzy,수지,female,rabbit,토끼상,3,사진데이터/수지3.png,705a770c9df9b04fed9dbf8d901e3963057c24b1fe995d63301e6ba57cd3bf50,584,646,processed/female/rabbit/bae_suzy/bae_suzy_03.jpg,0.91341,0.39977,0.4413,0.6124,-4.36,True,
han_ji_min_01,han_ji_min,한지민,female,rabbit,토끼상,1,사진데이터/한지민1.png,511dba9c52374837bc418d6ace8c8a35cc3a19c81dc579629bb1c652fefee192,492,590,processed/female/rabbit/han_ji_min/han_ji_min_01.jpg,0.9468,0.18333,0.6318,0.8546,-1.086,True,
han_ji_min_02,han_ji_min,한지민,female,rabbit,토끼상,2,사진데이터/한지민2.png,1d66551e01b06e6b5b0e7a86fa78f86007af8e8edfede20bceba93c167c9b3c9,580,498,processed/female/rabbit/han_ji_min/han_ji_min_02.jpg,0.94124,0.13294,0.3726,0.5006,-11.884,True,
han_ji_min_03,han_ji_min,한지민,female,rabbit,토끼상,3,사진데이터/한지민3.png,6e6892e740d2444fa3a7f30fd109f35b3e9e8d8686594a3569265587e69996be,524,544,processed/female/rabbit/han_ji_min/han_ji_min_03.jpg,0.94908,0.22888,0.4453,0.6544,0.852,True,
jungkook_bts_01,jungkook_bts,정국,male,rabbit,토끼상,1,사진데이터/정국1.png,5a179f0b93b5e4726f19f46c8ab87d1722c332f8c92cca1428c62519b3f8c57e,372,448,processed/male/rabbit/jungkook_bts/jungkook_bts_01.jpg,0.9304,0.26596,0.3186,0.5034,4.346,True,
jungkook_bts_02,jungkook_bts,정국,male,rabbit,토끼상,2,사진데이터/정국2.png,2233019e2114995a8bafb7293e146292fa4ddc6226d7746a8af6aeabacd49647,548,676,processed/male/rabbit/jungkook_bts/jungkook_bts_02.jpg,0.92316,0.31846,0.5033,0.9304,9.069,True,
jungkook_bts_03,jungkook_bts,정국,male,rabbit,토끼상,3,사진데이터/정국3.png,2788e13c24e5c4c595d2e75cd1d2318c5572cb8eaa8f43e769bbbcfa0a8b637c,684,636,processed/male/rabbit/jungkook_bts/jungkook_bts_03.jpg,0.92443,0.29269,0.4403,0.8681,9.647,True,
soobin_txt_01,soobin_txt,투바투 수빈,male,rabbit,토끼상,1,사진데이터/투바투수빈1.png,8f6a15b6b4b762311387fc2140823215916b71beb787b0c0655ed3529220a36d,334,442,processed/male/rabbit/soobin_txt/soobin_txt_01.jpg,0.93193,0.3912,0.5419,0.8172,-8.446,True,
soobin_txt_02,soobin_txt,투바투 수빈,male,rabbit,토끼상,2,사진데이터/투바투수빈2.png,7311f73bb85b73ed5ac24156408308205eb93d7658771ea7dd22658ff36997d3,436,480,processed/male/rabbit/soobin_txt/soobin_txt_02.jpg,0.93221,0.17296,0.4549,0.7064,-8.499,True,
soobin_txt_03,soobin_txt,투바투 수빈,male,rabbit,토끼상,3,사진데이터/투바투수빈3.png,604eda87795de7777d64dc9f8bb36724a4456d395e4da0d347257431b57db3e2,436,378,processed/male/rabbit/soobin_txt/soobin_txt_03.jpg,0.93595,0.24796,0.5507,0.7098,2.54,True,
lee_min_hyuk_01,lee_min_hyuk,이민혁,male,rabbit,토끼상,1,사진데이터/이민혁1.png,7330d48a85768d2b0bb5f440db213efc3294887ce67717d1e99aaeae93415d6b,432,450,processed/male/rabbit/lee_min_hyuk/lee_min_hyuk_01.jpg,0.93305,0.3329,0.5821,0.7079,-12.83,True,
lee_min_hyuk_02,lee_min_hyuk,이민혁,male,rabbit,토끼상,2,사진데이터/이민혁2.png,21a2dabfdbe6008b1b55848c447c4fcfd79d569123bce0a681e3919722087fcb,396,492,processed/male/rabbit/lee_min_hyuk/lee_min_hyuk_02.jpg,0.94436,0.24638,0.5378,0.7874,-0.171,True,
lee_min_hyuk_03,lee_min_hyuk,이민혁,male,rabbit,토끼상,3,사진데이터/이민혁3.png,82e3186caa9dcd9adfc456e043b48b82b7aab7772f7265b619067fcdab4e0b45,256,246,processed/male/rabbit/lee_min_hyuk/lee_min_hyuk_03.jpg,0.93481,0.17739,0.5439,0.3825,-1.938,True,
doyoung_nct_01,doyoung_nct,NCT 도영,male,rabbit,토끼상,1,사진데이터/NCT도영1.png,3ddc728a55ad92b3ce0188cc2216780cdbd92eadd97156f6055f3fc1f22d74c3,316,346,processed/male/rabbit/doyoung_nct/doyoung_nct_01.jpg,0.93989,0.20165,0.4097,0.477,-5.119,True,
doyoung_nct_02,doyoung_nct,NCT 도영,male,rabbit,토끼상,2,사진데이터/NCT도영2.png,678054739458a1158553e478816ee97b16c76276d3b131212e19c74aac2802d4,474,592,processed/male/rabbit/doyoung_nct/doyoung_nct_02.jpg,0.93746,0.24865,0.4579,0.7949,0.961,True,
doyoung_nct_03,doyoung_nct,NCT 도영,male,rabbit,토끼상,3,사진데이터/NCT도영3.png,9746a5223b4dc39293c1926dbc169ee8cecc78f764ca81a6fc79628afd4c6912,434,472,processed/male/rabbit/doyoung_nct/doyoung_nct_03.jpg,0.9368,0.19058,0.502,0.7286,-0.442,True,
asa_babymonster_01,asa_babymonster,아사,female,fox,여우상,1,사진데이터/아사1.png,d2d442c25309ce18fec16fd77c2c6da41318ec99fcee9664e55d71c6f6044053,768,780,processed/female/fox/asa_babymonster/asa_babymonster_01.jpg,0.90957,0.25588,0.6023,0.8274,-3.025,True,
asa_babymonster_02,asa_babymonster,아사,female,fox,여우상,2,사진데이터/아사2.png,e720ef4a3207ea1d8c028646cbbe577abf3e25b03b2472284e7d15f9286adae3,452,540,processed/female/fox/asa_babymonster/asa_babymonster_02.jpg,0.94195,0.18174,0.5155,0.8721,-4.084,True,
asa_babymonster_03,asa_babymonster,아사,female,fox,여우상,3,사진데이터/아사3.png,a2521cddc9e4e9022e710e9cf0e48ba2e046c0db301ba2036e8527af24b18ea7,342,428,processed/female/fox/asa_babymonster/asa_babymonster_03.jpg,0.92742,0.20329,0.3852,0.3565,2.908,True,
yeji_itzy_01,yeji_itzy,예지,female,fox,여우상,1,사진데이터/예지1.png,7a69f4f10ac053d654eeb5ecb19022be9a205cd2ffa17c64c721ffe308de7266,516,694,processed/female/fox/yeji_itzy/yeji_itzy_01.jpg,0.9295,0.35039,0.4877,0.8567,-8.957,True,
yeji_itzy_02,yeji_itzy,예지,female,fox,여우상,2,사진데이터/예지2.png,85e83cd274f131f30410446e2fe418bcd0c3ce65e5724f5ec748f6b89a421863,570,752,processed/female/fox/yeji_itzy/yeji_itzy_02.jpg,0.92516,0.30106,0.5986,0.8477,-13.458,True,
yeji_itzy_03,yeji_itzy,예지,female,fox,여우상,3,사진데이터/예지3.png,2fffef07610f3a7f51ae0a91413e1aee977b7098457493cca15a016e68743ba6,458,570,processed/female/fox/yeji_itzy/yeji_itzy_03.jpg,0.92599,0.23703,0.7948,0.6636,-16.218,True,
sana_twice_01,sana_twice,사나,female,fox,여우상,1,사진데이터/사나1.png,7098bfe3e839eb8da1fda9dc8952ad3ee41b4b36fa7369710cc69bcaa4c82fb2,534,606,processed/female/fox/sana_twice/sana_twice_01.jpg,0.94851,0.15882,0.5181,0.7851,-3.669,True,
sana_twice_02,sana_twice,사나,female,fox,여우상,2,사진데이터/사나2.png,a8e9d47605f5d3dece0d28e7eef1e684dda420096e948ac12a91bd39cee63dec,368,476,processed/female/fox/sana_twice/sana_twice_02.jpg,0.94849,0.21157,0.4376,0.7863,-0.666,True,
sana_twice_03,sana_twice,사나,female,fox,여우상,3,사진데이터/사나3.png,56ae6143211381904c3e7a340d392535ad708130a80010eb3da02e66fc90ff8d,410,386,processed/female/fox/sana_twice/sana_twice_03.jpg,0.9407,0.18284,0.5302,0.6811,-8.108,True,
han_so_hee_01,han_so_hee,한소희,female,fox,여우상,1,사진데이터/한소희1.png,825564cf798129225000000696320a64115003e70626886bad0e9632e02830c9,376,380,processed/female/fox/han_so_hee/han_so_hee_01.jpg,0.94297,0.17786,0.3903,0.6214,-5.414,True,
han_so_hee_02,han_so_hee,한소희,female,fox,여우상,2,사진데이터/한소희2.png,6598b0ab118b11bd79eaa0a015f4b75952ee85d3846c64974e03d44694664928,512,646,processed/female/fox/han_so_hee/han_so_hee_02.jpg,0.93707,0.29061,0.5218,0.8394,-0.829,True,
han_so_hee_03,han_so_hee,한소희,female,fox,여우상,3,사진데이터/한소희3.png,8e442a36faaea60f34c99842398ee2f21cf662c039e325628c2e0ce8552fc8a4,400,424,processed/female/fox/han_so_hee/han_so_hee_03.jpg,0.94908,0.27146,0.4113,0.3179,0.272,True,
young_k_day6_01,young_k_day6,영케이,male,fox,여우상,1,사진데이터/영케이1.png,fe882dd198317997344717c6b6fb2438e33d31e146594442fb19485f630cf149,348,430,processed/male/fox/young_k_day6/young_k_day6_01.jpg,0.95742,0.30654,0.6316,0.7193,-5.77,True,
young_k_day6_02,young_k_day6,영케이,male,fox,여우상,2,사진데이터/영케이2.png,cc1a083f6e06d23d4cd2242a5548d4af0e1e3f1b47c302b1f6ed547ceb5723be,464,480,processed/male/fox/young_k_day6/young_k_day6_02.jpg,0.92317,0.18666,0.59,0.8015,1.455,True,
young_k_day6_03,young_k_day6,영케이,male,fox,여우상,3,사진데이터/영케이3.png,2e06d9e67af980b2de6e7839e705aa82fed3c02cc9a0788d32e528b3893fc295,370,448,processed/male/fox/young_k_day6/young_k_day6_03.jpg,0.94232,0.13209,0.4032,0.5087,-2.539,True,
yook_sung_jae_01,yook_sung_jae,육성재,male,fox,여우상,1,사진데이터/육성재1.png,228f0fd42a1b04851be889b14fbfd46b5a70cbe3cec5484dcc635e106194bc3b,504,504,processed/male/fox/yook_sung_jae/yook_sung_jae_01.jpg,0.93463,0.14417,0.4621,0.5576,-3.695,True,
yook_sung_jae_02,yook_sung_jae,육성재,male,fox,여우상,2,사진데이터/육성재2.png,0a285e15a26a2b10ae3225971c9eb8bef6f8a1194a2598288c4cd8fd49785a5f,468,528,processed/male/fox/yook_sung_jae/yook_sung_jae_02.jpg,0.93186,0.28907,0.4858,0.672,-15.948,True,
yook_sung_jae_03,yook_sung_jae,육성재,male,fox,여우상,3,사진데이터/육성재3.png,846da93ae0a5de37828e564c32bee1de540b7f9a984e2637b87b8d707ef8ba6f,536,566,processed/male/fox/yook_sung_jae/yook_sung_jae_03.jpg,0.94507,0.25138,0.4279,0.7934,-5.5,True,
