sample_id,person_id,display_name,analysis_group,face_type,face_type_ko,sequence,source_path,source_sha256,source_width,source_height
xiumin_01,xiumin,시우민,male,cat,고양이상,1,사진데이터/시우민1.png,2945881809696e8ae356d11e850179d52f038124dc94f477cf79b43050115946,552,606
xiumin_02,xiumin,시우민,male,cat,고양이상,2,사진데이터/시우민2.png,32b35bd3bb4b03f147fda0a79847e6e3aa291572ed470d67ab09b2b131c5a08f,578,632
xiumin_03,xiumin,시우민,male,cat,고양이상,3,사진데이터/시우민3.png,68421ba73c79da536a8168fac4dc8a4eb4e5ff98f8f061c4307ab3c89a48e1c9,478,570
hwang_min_hyun_01,hwang_min_hyun,황민현,male,cat,고양이상,1,사진데이터/황민현1.png,636f081d20b64a56b052b22f35555dbc43944f1487906368dc008eac656cc467,220,238
hwang_min_hyun_02,hwang_min_hyun,황민현,male,cat,고양이상,2,사진데이터/황민현2.png,2f9c43b00d88ef2a1a5e6910fe6a8de15324991b14b56b83f443d22e9de3d891,530,524
hwang_min_hyun_03,hwang_min_hyun,황민현,male,cat,고양이상,3,사진데이터/황민현3.png,43b2166d9a61d77b160789836418a9fc51ef87f59f3ab4cfd02c2aef57988af8,532,594
suga_bts_01,suga_bts,슈가,male,cat,고양이상,1,사진데이터/슈가1.png,ed8059aa402fe8b95b393449d62f590de3dbd19b6d74c46ae11cca8071e93d0e,364,448
suga_bts_02,suga_bts,슈가,male,cat,고양이상,2,사진데이터/슈가2.png,b86b6954b32b95ba76081209a8799e6ebd8fdd3aaafd381f66279871483b2c08,568,652
suga_bts_03,suga_bts,슈가,male,cat,고양이상,3,사진데이터/슈가3.png,a712645b5219b9929eb7d7d3db74a132df2163749af5ecd0f9dbe77e1d297612,488,580
jang_won_young_01,jang_won_young,장원영,female,rabbit,토끼상,1,사진데이터/장원영1.png,840c038a62d99d5235cb4f657d49dd86a59e0e0541d303c6623ae88759f9b7a8,662,682
jang_won_young_02,jang_won_young,장원영,female,rabbit,토끼상,2,사진데이터/장원영2.png,3b92044598d5edfc8dcb5c59d1061407166779221eca09915ebc33a1fcc8df71,640,644
jang_won_young_03,jang_won_young,장원영,female,rabbit,토끼상,3,사진데이터/장원영3.png,46cb7978aca5a2c7747563e8e3a362140d644e8faa66f190cbd89bcab6ac6f6d,688,632
nayeon_twice_01,nayeon_twice,나연,female,rabbit,토끼상,1,사진데이터/나연1.png,8035a6ada1eac53a8d80a211f92ac5bf267c791e12e67d540826db845b6a73c5,566,618
nayeon_twice_02,nayeon_twice,나연,female,rabbit,토끼상,2,사진데이터/나연2.png,eb870e351405de6233624e540b1497096714e9dbdeb886432c7308ced1d5f9f5,250,270
nayeon_twice_03,nayeon_twice,나연,female,rabbit,토끼상,3,사진데이터/나연3.png,c7421c86b60010ea5cf630785c790763a244676d1bb237641e8922e1d65c649d,442,446
bae_suzy_01,bae_suzy,수지,female,rabbit,토끼상,1,사진데이터/수지1.png,3ed89783df6971f2e5e6ed21a60a023d9a779b5388d8e3885ec0fda9d1ab7162,618,628
bae_suzy_02,bae_suzy,수지,female,rabbit,토끼상,2,사진데이터/수지2.png,28469e6a5be946dbb3c3da75580801cac807a1fe28bd45d576d0a57e8d98a010,516,598
bae_suzy_03,bae_suzy,수지,female,rabbit,토끼상,3,사진데이터/수지3.png,705a770c9df9b04fed9dbf8d901e3963057c24b1fe995d63301e6ba57cd3bf50,584,646
han_ji_min_01,han_ji_min,한지민,female,rabbit,토끼상,1,사진데이터/한지민1.png,511dba9c52374837bc418d6ace8c8a35cc3a19c81dc579629bb1c652fefee192,492,590
han_ji_min_02,han_ji_min,한지민,female,rabbit,토끼상,2,사진데이터/한지민2.png,1d66551e01b06e6b5b0e7a86fa78f86007af8e8edfede20bceba93c167c9b3c9,580,498
han_ji_min_03,han_ji_min,한지민,female,rabbit,토끼상,3,사진데이터/한지민3.png,6e6892e740d2444fa3a7f30fd109f35b3e9e8d8686594a3569265587e69996be,524,544
jungkook_bts_01,jungkook_bts,정국,male,rabbit,토끼상,1,사진데이터/정국1.png,5a179f0b93b5e4726f19f46c8ab87d1722c332f8c92cca1428c62519b3f8c57e,372,448
jungkook_bts_02,jungkook_bts,정국,male,rabbit,토끼상,2,사진데이터/정국2.png,2233019e2114995a8bafb7293e146292fa4ddc6226d7746a8af6aeabacd49647,548,676
jungkook_bts_03,jungkook_bts,정국,male,rabbit,토끼상,3,사진데이터/정국3.png,2788e13c24e5c4c595d2e75cd1d2318c5572cb8eaa8f43e769bbbcfa0a8b637c,684,636
soobin_txt_01,soobin_txt,투바투 수빈,male,rabbit,토끼상,1,사진데이터/투바투수빈1.png,8f6a15b6b4b762311387fc2140823215916b71beb787b0c0655ed3529220a36d,334,442
soobin_txt_02,soobin_txt,투바투 수빈,male,rabbit,토끼상,2,사진데이터/투바투수빈2.png,7311f73bb85b73ed5ac24156408308205eb93d7658771ea7dd22658ff36997d3,436,480
soobin_txt_03,soobin_txt,투바투 수빈,male,rabbit,토끼상,3,사진데이터/투바투수빈3.png,604eda87795de7777d64dc9f8bb36724a4456d395e4da0d347257431b57db3e2,436,378
lee_min_hyuk_01,lee_min_hyuk,이민혁,male,rabbit,토끼상,1,사진데이터/이민혁1.png,7330d48a85768d2b0bb5f440db213efc3294887ce67717d1e99aaeae93415d6b,432,450
lee_min_hyuk_02,lee_min_hyuk,이민혁,male,rabbit,토끼상,2,사진데이터/이민혁2.png,21a2dabfdbe6008b1b55848c447c4fcfd79d569123bce0a681e3919722087fcb,396,492
lee_min_hyuk_03,lee_min_hyuk,이민혁,male,rabbit,토끼상,3,사진데이터/이민혁3.png,82e3186caa9dcd9adfc456e043b48b82b7aab7772f7265b619067fcdab4e0b45,256,246
doyoung_nct_01,doyoung_nct,NCT 도영,male,rabbit,토끼상,1,사진데이터/NCT도영1.png,3ddc728a55ad92b3ce0188cc2216780cdbd92eadd97156f6055f3fc1f22d74c3,316,346
doyoung_nct_02,doyoung_nct,NCT 도영,male,rabbit,토끼상,2,사진데이터/NCT도영2.png,678054739458a1158553e478816ee97b16c76276d3b131212e19c74aac2802d4,474,592
doyoung_nct_03,doyoung_nct,NCT 도영,male,rabbit,토끼상,3,사진데이터/NCT도영3.png,9746a5223b4dc39293c1926dbc169ee8cecc78f764ca81a6fc79628afd4c6912,434,472
asa_babymonster_01,asa_babymonster,아사,female,fox,여우상,1,사진데이터/아사1.png,d2d442c25309ce18fec16fd77c2c6da41318ec99fcee9664e55d71c6f6044053,768,780
asa_babymonster_02,asa_babymonster,아사,female,fox,여우상,2,사진데이터/아사2.png,e720ef4a3207ea1d8c028646cbbe577abf3e25b03b2472284e7d15f9286adae3,452,540
asa_babymonster_03,asa_babymonster,아사,female,fox,여우상,3,사진데이터/아사3.png,a2521cddc9e4e9022e710e9cf0e48ba2e046c0db301ba2036e8527af24b18ea7,342,428
yeji_itzy_01,yeji_itzy,예지,female,fox,여우상,1,사진데이터/예지1.png,7a69f4f10ac053d654eeb5ecb19022be9a205cd2ffa17c64c721ffe308de7266,516,694
yeji_itzy_02,yeji_itzy,예지,female,fox,여우상,2,사진데이터/예지2.png,85e83cd274f131f30410446e2fe418bcd0c3ce65e5724f5ec748f6b89a421863,570,752
yeji_itzy_03,yeji_itzy,예지,female,fox,여우상,3,사진데이터/예지3.png,2fffef07610f3a7f51ae0a91413e1aee977b7098457493cca15a016e68743ba6,458,570
sana_twice_01,sana_twice,사나,female,fox,여우상,1,사진데이터/사나1.png,7098bfe3e839eb8da1fda9dc8952ad3ee41b4b36fa7369710cc69bcaa4c82fb2,534,606
sana_twice_02,sana_twice,사나,female,fox,여우상,2,사진데이터/사나2.png,a8e9d47605f5d3dece0d28e7eef1e684dda420096e948ac12a91bd39cee63dec,368,476
sana_twice_03,sana_twice,사나,female,fox,여우상,3,사진데이터/사나3.png,56ae6143211381904c3e7a340d392535ad708130a80010eb3da02e66fc90ff8d,410,386
han_so_hee_01,han_so_hee,한소희,female,fox,여우상,1,사진데이터/한소희1.png,825564cf798129225000000696320a64115003e70626886bad0e9632e02830c9,376,380
han_so_hee_02,han_so_hee,한소희,female,fox,여우상,2,사진데이터/한소희2.png,6598b0ab118b11bd79eaa0a015f4b75952ee85d3846c64974e03d44694664928,512,646
han_so_hee_03,han_so_hee,한소희,female,fox,여우상,3,사진데이터/한소희3.png,8e442a36faaea60f34c99842398ee2f21cf662c039e325628c2e0ce8552fc8a4,400,424
young_k_day6_01,young_k_day6,영케이,male,fox,여우상,1,사진데이터/영케이1.png,fe882dd198317997344717c6b6fb2438e33d31e146594442fb19485f630cf149,348,430
young_k_day6_02,young_k_day6,영케이,male,fox,여우상,2,사진데이터/영케이2.png,cc1a083f6e06d23d4cd2242a5548d4af0e1e3f1b47c302b1f6ed547ceb5723be,464,480
young_k_day6_03,young_k_day6,영케이,male,fox,여우상,3,사진데이터/영케이3.png,2e06d9e67af980b2de6e7839e705aa82fed3c02cc9a0788d32e528b3893fc295,370,448
yook_sung_jae_01,yook_sung_jae,육성재,male,fox,여우상,1,사진데이터/육성재1.png,228f0fd42a1b04851be889b14fbfd46b5a70cbe3cec5484dcc635e106194bc3b,504,504
yook_sung_jae_02,yook_sung_jae,육성재,male,fox,여우상,2,사진데이터/육성재2.png,0a285e15a26a2b10ae3225971c9eb8bef6f8a1194a2598288c4cd8fd49785a5f,468,528
yook_sung_jae_03,yook_sung_jae,육성재,male,fox,여우상,3,사진데이터/육성재3.png,846da93ae0a5de37828e564c32bee1de540b7f9a984e2637b87b8d707ef8ba6f,536,566
ju_ji_hoon_01,ju_ji_hoon,주지훈,male,fox,여우상,1,사진데이터/주지훈1.png,8380142fba6c0db01c44d2d54334539e01bfc927ccc2ec3a9284e058910c29e0,378,420
ju_ji_hoon_02,ju_ji_hoon,주지훈,male,fox,여우상,2,사진데이터/주지훈2.png,2e2e45ccb8ddf7cb3683b2368cf85fe91fee8db8fd87a7da04a2e0dc6dfeb877,592,714
ju_ji_hoon_03,ju_ji_hoon,주지훈,male,fox,여우상,3,사진데이터/주지훈3.png,839cf35f38f29b6d2da44ea6ce33352ca0c767c31ed7fd625700db201c3940dc,528,540
lee_do_hyun_01,lee_do_hyun,이도현,male,fox,여우상,1,사진데이터/이도현1.png,d3f998e24570f6ef4c0b87f6e8bbe455eda0270893ef5e66d62300b28015f1c4,530,566
lee_do_hyun_02,lee_do_hyun,이도현,male,fox,여우상,2,사진데이터/이도현2.png,3a6bdea09d839057f15a5b5a59efa9b8e7122d2add023dc581088024069d9e70,416,526
lee_do_hyun_03,lee_do_hyun,이도현,male,fox,여우상,3,사진데이터/이도현3.png,5047a5204196e7a4527c5d84a768844fadb648a03e5dae7bc53c05fa7e3ab702,652,696
miyeon_gidle_01,miyeon_gidle,미연,female,deer,사슴상,1,사진데이터/미연1.png,97d9ca8f371060b8d87eb76b63ea60f16551a133d14ee4518bc4aac43487b27d,540,602
miyeon_gidle_02,miyeon_gidle,미연,female,deer,사슴상,2,사진데이터/미연2.png,f79131e71262db8b77ffb8d02fc5de44dd351273e95c582a619816d5cd3ae4aa,504,458
miyeon_gidle_03,miyeon_gidle,미연,female,deer,사슴상,3,사진데이터/미연3.png,6b3d8f60f4af38b23bfd7b9c90c90411d7af5bc7dc2bd9238cda2763be75fe1c,446,500
sullyoon_nmixx_01,sullyoon_nmixx,설윤,female,deer,사슴상,1,사진데이터/설윤1.png,50ea4c051790431a2774a84357a30822dd01dbc3f02512e578026cf32a78ba75,442,470
sullyoon_nmixx_02,sullyoon_nmixx,설윤,female,deer,사슴상,2,사진데이터/설윤2.png,e87c374e43fcc38743374735f534b7c5308bd42d046a4594216d50fd19ced132,534,598
sullyoon_nmixx_03,sullyoon_nmixx,설윤,female,deer,사슴상,3,사진데이터/설윤3.png,ebf999918ef6f0703fe972e5b71521bff38939419df48b3f6418964125404f87,428,502
im_yoon_a_01,im_yoon_a,윤아,female,deer,사슴상,1,사진데이터/윤아1.png,1a58befd78216e7048e29d7e4ff8f090a3fd34105cbdf8b2947cbf028a46275f,440,522
im_yoon_a_02,im_yoon_a,윤아,female,deer,사슴상,2,사진데이터/윤아2.png,1e4bf128331e70f7349760ad792b27f324ce6ea32911436f66d3d97e564ad9ee,468,538
im_yoon_a_03,im_yoon_a,윤아,female,deer,사슴상,3,사진데이터/윤아3.png,7db648df29eb984241339e8c97cb116f457d1578ba88f10552d8604f3fc2ff3c,396,448
go_ara_01,go_ara,고아라,female,deer,사슴상,1,사진데이터/고아라1.png,3b96afbc8fabdcea885fd797af5e0f50f82f2176123652b4169b90a5c485d52f,584,514
go_ara_02,go_ara,고아라,female,deer,사슴상,2,사진데이터/고아라2.png,583d04d331deae475b229cf70354d4d740798b3d54e1ffcff6f20e313ef0cf57,482,460
go_ara_03,go_ara,고아라,female,deer,사슴상,3,사진데이터/고아라3.png,20cf7b9c9441f70554789b5b2b176dd95d053230d7ac65c4a38409d72fdc4abb,544,630
minho_shinee_01,minho_shinee,샤이니 민호,male,deer,사슴상,1,사진데이터/민호1.png,7dafbdb47d069d42bf4c46ebccb8a54fb13980fcdd9c03efd9c92da8d3ce9b87,444,470
minho_shinee_02,minho_shinee,샤이니 민호,male,deer,사슴상,2,사진데이터/민호2.png,3031737298dabd59d3a4c273e81405426f242d3f28b25614bdd06cb3f6d4084b,458,478
minho_shinee_03,minho_shinee,샤이니 민호,male,deer,사슴상,3,사진데이터/민호3.png,380f8529528b4a372ba2ead0f294efb83ab2160e0c82e69c5410673f3fbb8847,450,398
hanjin_tws_01,hanjin_tws,투어스 한진,male,deer,사슴상,1,사진데이터/투어스한진1.png,ab7b49b0b9a677c994f2f54b2f6b7cf9dbea48cdcd379aaa90ada59f542be064,390,430
hanjin_tws_02,hanjin_tws,투어스 한진,male,deer,사슴상,2,사진데이터/투어스한진2.png,c7be782b2c519a542b3f01e17747bedbccef775447c5540463046a5a3a41d627,572,572
hanjin_tws_03,hanjin_tws,투어스 한진,male,deer,사슴상,3,사진데이터/투어스한진3.png,8e29e8eef1957e85980453ba0d9875de1260ea3b5ebd67439e201b42d74a6737,420,548
cha_eun_woo_01,cha_eun_woo,차은우,male,deer,사슴상,1,사진데이터/차은우1.png,307bf131393df18ac570fcadbfa2d43be4b1eb9e6a206c123f101c423257728c,614,632
cha_eun_woo_02,cha_eun_woo,차은우,male,deer,사슴상,2,사진데이터/차은우2.png,9c9601758be7d2b989a5714259bada49686cb1eaf80d8aa92b816a632204c620,612,698
cha_eun_woo_03,cha_eun_woo,차은우,male,deer,사슴상,3,사진데이터/차은우3.png,b8f347a18809e5512d7ce4e115f38d94442a627dea4a218601bc3be49d3abf87,478,564
max_changmin_01,max_changmin,최강창민,male,deer,사슴상,1,사진데이터/최강창민1.png,d7fdf46c89965257538c6be09b3190b9e4d717aba8983eab40727175b54c332a,340,384
max_changmin_02,max_changmin,최강창민,male,deer,사슴상,2,사진데이터/최강창민2.png,db3d95b8561a008b62d3b3189a35265cd1d21eda9f28a76625392311a97c9ac9,442,564
max_changmin_03,max_changmin,최강창민,male,deer,사슴상,3,사진데이터/최강창민3.png,8258a30d77f27659b6a2b4f3ec03049d2494e231c5f4c98f1a37da78a33d9369,524,698
ha_yeon_soo_01,ha_yeon_soo,하연수,female,turtle,거북이상,1,사진데이터/하연수1.png,c8371b1e52d0ac31748fe175be906cb7ff1c9d2a63762cfd45c2cb3b650ccea5,594,696
ha_yeon_soo_02,ha_yeon_soo,하연수,female,turtle,거북이상,2,사진데이터/하연수2.png,55c0e41203c9adae6839a44f4da6309d28c4a6497fcfd24b7bc852f32374c5e5,456,534
ha_yeon_soo_03,ha_yeon_soo,하연수,female,turtle,거북이상,3,사진데이터/하연수3.png,b12568cff547b708c8c7bbfe226686c3427bee434a08d2a606544b3d917f9623,524,612
yujeong_01,yujeong,유정,female,turtle,거북이상,1,사진데이터/유정1.png,f4cc06e1d745241db2c737bc5a82d133f208a9472cf898f31c6f12547a98410d,482,466
yujeong_02,yujeong,유정,female,turtle,거북이상,2,사진데이터/유정2.png,51672252d382c8165dcc913a444dc9706360532830694ec06b45301ed483d1e5,550,530
yujeong_03,yujeong,유정,female,turtle,거북이상,3,사진데이터/유정3.png,93c7ca3e53cf887dad25db95a45fb7a8ede7bc6d8d248fe812db75bb07400b98,512,552
shin_min_a_01,shin_min_a,신민아,female,turtle,거북이상,1,사진데이터/신민아1.png,d46205cf3f4fd7e32fc7471149cdd078b06fe4e1e965efff4ffe8749aff723d0,492,580
shin_min_a_02,shin_min_a,신민아,female,turtle,거북이상,2,사진데이터/신민아2.png,434a3025ee6f3acb36876c7881b5cf84bde114a6d8d374e0af221a432f73286e,520,638
shin_min_a_03,shin_min_a,신민아,female,turtle,거북이상,3,사진데이터/신민아3.png,d78dfae79e99887c9f28528c5828881ab0e6e3e81ef847f5c3e5c98cfb02890f,428,424
jo_yu_ri_01,jo_yu_ri,조유리,female,turtle,거북이상,1,사진데이터/조유리1.png,ed92ca5ee4c219d8c9a7ba11614ac28eb1bd118fc82fd486375337b958824283,630,516
jo_yu_ri_02,jo_yu_ri,조유리,female,turtle,거북이상,2,사진데이터/조유리2.png,a1f70bf8899226112ef369b1b95b7a1446c028232fd1426f372dbfb7566d0367,528,664
jo_yu_ri_03,jo_yu_ri,조유리,female,turtle,거북이상,3,사진데이터/조유리3.png,d3a83abe1e43ee2103ffb0cc41d5988453ca0d722e57229af4dfbe5a5490adc2,510,504
kang_mina_01,kang_mina,강미나,female,hamster,햄스터상,1,사진데이터/강미나1.png,a48a0a94ea933cba139d1369c92adf4dd3dc4d981a1db4c56c6a8841ec7db003,434,414
kang_mina_02,kang_mina,강미나,female,hamster,햄스터상,2,사진데이터/강미나2.png,4835411d3abdc3143744af0133acc41a078ec62a2b1fc1d30e901929c32607e9,418,530
kang_mina_03,kang_mina,강미나,female,hamster,햄스터상,3,사진데이터/강미나3.png,5ad6eb1d7eadfa285838b2a296fed706281f27590f4cea9b10f9ca4d4f6266c4,504,578
wonhee_illit_01,wonhee_illit,원희,female,hamster,햄스터상,1,사진데이터/원희1.png,e776eb357356547289cd2ad3c39229c9cd25032b71f813097cc67ddd3c81d0f3,290,384
wonhee_illit_02,wonhee_illit,원희,female,hamster,햄스터상,2,사진데이터/원희2.png,a96c63b23778060a12e0f04795bab07c292a3a4407ba8b5b8d172ada29a60140,540,610
wonhee_illit_03,wonhee_illit,원희,female,hamster,햄스터상,3,사진데이터/원희3.png,76aae5751130924d90a8c29fe24c581810e6c2a10e907df78268b8d77ce58334,554,612
kim_da_mi_01,kim_da_mi,김다미,female,hamster,햄스터상,1,사진데이터/김다미1.png,85715099fed3d94eb5de9b05d4fbf053bddc5cb9458e198616e398b33869835b,372,406
kim_da_mi_02,kim_da_mi,김다미,female,hamster,햄스터상,2,사진데이터/김다미2.png,ad48e71af6b98c083e781c463d0889c94e15d603a79e7abcef024624a1f48080,322,334
kim_da_mi_03,kim_da_mi,김다미,female,hamster,햄스터상,3,사진데이터/김다미3.png,bfbb24481e7a0f2f3e89b617df503f5c552005aec1b3e9f96e76155d67feb343,568,560
song_ha_young_01,song_ha_young,송하영,female,hamster,햄스터상,1,사진데이터/송하영1.png,c1ec83c715987d13691f1624605d959216ba011f14de4faaa1d7279a1b6d6700,362,430
song_ha_young_02,song_ha_young,송하영,female,hamster,햄스터상,2,사진데이터/송하영2.png,ef613bc920b779d72667b82d5a79e50fe2b1faed9c8bd61e8f6ca2cb67fbceb8,322,426
song_ha_young_03,song_ha_young,송하영,female,hamster,햄스터상,3,사진데이터/송하영3.png,24e24a91cb217c8f7050af1e44051b9f6b74b79422ae2edcb4b9868b0abe4dfe,304,410
karina_aespa_01,karina_aespa,카리나,female,snake,뱀상,1,사진데이터/카리나1.png,d635e54d062146c2abf2fcdb6b93cc91d315a41f9c3d410ea3f5a8f249da7abd,348,436
karina_aespa_02,karina_aespa,카리나,female,snake,뱀상,2,사진데이터/카리나2.png,ae5dcbc061aa836da9ee8bb1381e921f1971420cab403f856162b814ed42459b,324,458
karina_aespa_03,karina_aespa,카리나,female,snake,뱀상,3,사진데이터/카리나3.png,f51e36d1781eefec57b69a0954dee0f04224245ba12783f5821823f58cfcf5a3,478,634
